2.0
0.3045, -1.47276, -1.09898
0.301446, -1.46577, -1.09349
0.298392, -1.45879, -1.088
0.295338, -1.4518, -1.08251
0.292284, -1.44482, -1.07703
0.28923, -1.43783, -1.07154
0.286176, -1.43085, -1.06605
0.283122, -1.42386, -1.06056
0.280067, -1.41688, -1.05507
0.277013, -1.40989, -1.04958
0.273959, -1.40291, -1.04409
0.270905, -1.39592, -1.0386
0.267851, -1.38894, -1.03312
0.264797, -1.38195, -1.02763
0.261743, -1.37497, -1.02214
0.258689, -1.36798, -1.01665
0.255635, -1.361, -1.01116
0.252581, -1.35401, -1.00567
0.249527, -1.34703, -1.00019
0.246473, -1.34004, -0.994697
0.243419, -1.33306, -0.989208
0.240365, -1.32607, -0.983719
0.237311, -1.31908, -0.97823
0.234257, -1.3121, -0.972742
0.231203, -1.30511, -0.967252
0.228149, -1.29813, -0.961764
0.225095, -1.29114, -0.956277
0.222041, -1.28416, -0.950787
0.218986, -1.27717, -0.945299
0.215932, -1.27019, -0.93981
0.212878, -1.2632, -0.934321
0.209824, -1.25622, -0.928832
0.20677, -1.24923, -0.923344
0.203716, -1.24225, -0.917854
0.200662, -1.23526, -0.912366
0.197608, -1.22828, -0.906878
0.194554, -1.22129, -0.901389
0.1915, -1.21431, -0.8959
0.188446, -1.20732, -0.890412
0.185392, -1.20034, -0.884924
0.182338, -1.19335, -0.879434
0.179284, -1.18637, -0.873946
0.17623, -1.17938, -0.868458
0.173176, -1.17239, -0.862968
0.170122, -1.16541, -0.85748
0.167068, -1.15842, -0.851991
0.164014, -1.15144, -0.846502
0.16096, -1.14445, -0.841013
0.157906, -1.13747, -0.835525
0.154851, -1.13048, -0.830036
0.151797, -1.1235, -0.824548
0.148743, -1.11651, -0.81906
0.145689, -1.10953, -0.81357
0.142635, -1.10254, -0.808082
0.139581, -1.09556, -0.802593
0.136527, -1.08857, -0.797104
0.133473, -1.08159, -0.791615
0.130419, -1.0746, -0.786127
0.127365, -1.06762, -0.780638
0.124311, -1.06063, -0.775149
0.121257, -1.05365, -0.769662
0.118203, -1.04666, -0.764173
0.115149, -1.03968, -0.758684
0.112095, -1.03269, -0.753195
0.109041, -1.02571, -0.747707
0.105987, -1.01872, -0.742217
0.102933, -1.01173, -0.736729
